postcode,locality,state,long,lat
2068,WILLOUGHBY EAST,NSW,151.206289,-33.79909157
2068,WILLOUGHBY NORTH,NSW,151.202715,-33.800881
2069,CASTLE COVE,NSW,151.195368,-33.780246
2069,ROSEVILLE,NSW,151.195368,-33.780246
2069,ROSEVILLE CHASE,NSW,151.195368,-33.780246
2070,EAST LINDFIELD,NSW,151.162007,-33.78042
2070,LINDFIELD,NSW,151.162007,-33.78042
2070,LINDFIELD WEST,NSW,151.162007,-33.78042
2071,EAST KILLARA,NSW,151.1814551,-33.75536381
2071,KILLARA,NSW,151.171738,-33.761834
2072,GORDON,NSW,151.153176,-33.754582
2073,PYMBLE,NSW,151.130278,-33.757296
2073,WEST PYMBLE,NSW,151.130278,-33.757296
2074,BOBBIN HEAD,NSW,151.123716,-33.735222
2074,NORTH TURRAMURRA,NSW,151.123716,-33.735222
2074,SOUTH TURRAMURRA,NSW,151.123716,-33.735222
2074,TURRAMURRA,NSW,151.123716,-33.735222
2074,WARRAWEE,NSW,151.123716,-33.735222
2075,NORTH ST IVES,NSW,151.16729,-33.723693
2075,ST IVES,NSW,151.16729,-33.723693
2075,ST IVES CHASE,NSW,151.16729,-33.723693
2076,NORMANHURST,NSW,151.108249,-33.723263
2076,NORTH WAHROONGA,NSW,151.1311234,-33.6977144
2076,WAHROONGA,NSW,151.108249,-33.723263
2077,ASQUITH,NSW,151.097508,-33.691922
2077,HORNSBY,NSW,151.097508,-33.691922
2077,HORNSBY HEIGHTS,NSW,151.097508,-33.691922
2077,WAITARA,NSW,151.097508,-33.691922
2079,MOUNT COLAH,NSW,151.112681,-33.666637
2080,MOUNT KURING-GAI,NSW,151.143563,-33.658174
2081,BEROWRA,NSW,151.150498,-33.619756
2081,COWAN,NSW,151.150498,-33.619756
2082,BEROWRA CREEK,NSW,151.138709,-33.54620871
2082,BEROWRA HEIGHTS,NSW,151.168984,-33.561858
2082,BEROWRA WATERS,NSW,151.168984,-33.561858
2083,BAR POINT,NSW,151.194452,-33.525322
2083,BROOKLYN,NSW,151.194452,-33.525322
2083,CHEERO POINT,NSW,151.1920435,-33.51046731
2083,COGRA BAY,NSW,151.194452,-33.525322
2083,DANGAR ISLAND,NSW,151.194452,-33.525322
2083,MILSONS PASSAGE,NSW,151.194452,-33.525322
2083,MOONEY MOONEY,NSW,151.194452,-33.525322
2084,AKUNA BAY,NSW,151.216929,-33.650999
2084,COTTAGE POINT,NSW,151.216929,-33.650999
2084,DUFFYS FOREST,NSW,151.216929,-33.650999
2084,TERREY HILLS,NSW,151.216929,-33.650999
2085,BELROSE,NSW,151.211719,-33.728782
2085,BELROSE WEST,NSW,151.211719,-33.728782
2085,DAVIDSON,NSW,151.211719,-33.728782
2086,FRENCHS FOREST,NSW,151.229211,-33.75185
2086,FRENCHS FOREST EAST,NSW,151.229211,-33.75185
2087,FORESTVILLE,NSW,151.210531,-33.766093
2087,KILLARNEY HEIGHTS,NSW,151.210531,-33.766093
2088,MOSMAN,NSW,151.243351,-33.830687
2088,SPIT JUNCTION,NSW,151.243351,-33.830687
2089,KURRABA POINT,NSW,151.2228263,-33.84149573
2089,NEUTRAL BAY,NSW,151.216869,-33.838021
2089,NEUTRAL BAY JUNCTION,NSW,151.216869,-33.838021
2090,CREMORNE,NSW,151.223094,-33.828949
2090,CREMORNE JUNCTION,NSW,151.223094,-33.828949
2090,CREMORNE POINT,NSW,151.223094,-33.828949
2091,HMAS PENGUIN,NSW,151.261,-33.8279
2092,SEAFORTH,NSW,151.241813,-33.796636
2093,BALGOWLAH,NSW,151.258069,-33.79315
2093,BALGOWLAH HEIGHTS,NSW,151.258069,-33.79315
2093,CLONTARF,NSW,151.258069,-33.79315
2093,MANLY VALE,NSW,151.258069,-33.79315
2093,NORTH BALGOWLAH,NSW,151.258069,-33.79315
2094,FAIRLIGHT,NSW,151.273242,-33.795227
2095,MANLY,NSW,151.294675,-33.815482
2095,MANLY EAST,NSW,151.294675,-33.815482
2096,CURL CURL,NSW,151.28494,-33.776781
2096,FRESHWATER,NSW,151.2849046,-33.77509122
2096,HARBORD,NSW,151.28494,-33.776781
2096,QUEENSCLIFF,NSW,151.28494,-33.776781
2097,COLLAROY,NSW,151.297895,-33.739577
2097,COLLAROY BEACH,NSW,151.297895,-33.739577
2097,COLLAROY PLATEAU,NSW,151.2907075,-33.73032061
2097,COLLAROY PLATEAU WEST,NSW,151.297895,-33.739577
2097,LONG REEF,NSW,151.297895,-33.739577
2097,WHEELER HEIGHTS,NSW,151.297895,-33.739577
2099,CROMER,NSW,151.279999,-33.748914
2099,CROMER HEIGHTS,NSW,151.279999,-33.748914
2099,DEE WHY,NSW,151.279999,-33.748914
2099,DEE WHY BEACH,NSW,151.279999,-33.748914
2099,NARRAWEENA,NSW,151.279999,-33.748914
2099,NORTH CURL CURL,NSW,151.279999,-33.748914
2099,WINGALA,NSW,151.279999,-33.748914
2100,ALLAMBIE,NSW,151.257781,-33.766409
2100,ALLAMBIE HEIGHTS,NSW,151.257781,-33.766409
2100,BEACON HILL,NSW,151.257781,-33.766409
